,Title,Subtitle,Realise Time
442,Hachiko (2023),SUB,2023-07-15 16:17:38
443,The Assassin (2023),SUB,2023-07-14 07:38:17
444,Hoon Payon (2023),SUB,2023-07-13 18:38:42
445,Kill the Drug Lords (2023),RAW,2023-07-13 07:36:54
446,Cross the Battlefield (2023),RAW,2023-07-09 08:01:10
447,Buaphan Fan Yap (2022),RAW,2023-07-08 02:44:50
448,Thid Noi (2023),RAW,2023-07-08 02:44:25
449,Asura (2023),RAW,2023-07-06 17:44:53
450,Citizen Pane (2023),RAW,2023-07-06 17:44:43
451,Goddamned Asura (2022),SUB,2023-07-06 17:43:12
452,A Man (2022),SUB,2023-07-05 19:19:45
453,The Roundup: No Way Out (2023),SUB,2023-07-04 17:40:43
454,Journey to the Shore (2020),SUB,2023-07-04 01:43:47
455,Phases of the Moon (2022),SUB,2023-07-03 21:28:01
456,Exist Within (2022),SUB,2023-07-03 19:05:23
457,Dream Palace (2022),RAW,2023-07-01 14:59:30
458,Faces in the Crowd (2023),SUB,2023-06-30 07:05:09
459,Inhuman Kiss 2 (2023),SUB,2023-06-30 01:33:36
460,Egoist (2023),SUB,2023-06-29 01:45:21
461,Butterfly Effect (2023),RAW,2023-06-28 07:59:27
462,The Hand (2023),RAW,2023-06-27 01:46:21
463,Dream (2023),SUB,2023-06-27 01:45:43
464,All These Years (2023),SUB,2023-06-22 17:19:01
465,Ride On (2023),SUB,2023-06-20 21:05:14
466,Evil Spider (2023),SUB,2023-06-18 03:33:20
467,The Village (2023),SUB,2023-06-16 15:16:11
468,Motherhood (2022) (JP),SUB,2023-06-16 15:12:48
469,What She Likes (2021),SUB,2023-06-05 07:49:30
470,The Ghost Station (2023),SUB,2023-05-31 00:06:48
471,Highway Family (2022),SUB,2023-05-30 08:01:55
472,Yesterday Once More (2023),SUB,2023-05-29 18:47:33
473,The Legend & Butterfly (2023),SUB,2023-05-27 08:45:31
474,Flash Over (2022),SUB,2023-05-23 07:18:01
475,Switch (2023),SUB,2023-05-17 18:00:13
476,Full River Red (2023),SUB,2023-05-15 19:00:11
477,Hontoni Atta Kowai Hanashi,RAW,2023-05-13 06:09:15
478,Kirei 〜 The Woman Who Met Up With God 〜 (2019),RAW,2023-05-13 05:57:17
479,Sincerite (2017),RAW,2023-05-13 05:53:24
480,NHK Butterfly Effect (2022),RAW,2023-05-13 05:52:54
481,You & Me & Me (2023),SUB,2023-05-10 18:53:09
482,Bakumatsu Without Honor and Humanity (2023),RAW,2023-05-09 19:29:31
483,Ajoomma (2022),SUB,2023-05-07 20:25:26
484,Swallow (2023),RAW,2023-05-03 09:11:28
485,Radiation House: The Movie (2022),SUB,2023-05-02 19:18:27
486,Yo nimo Kimyou na Monogatari: 2014 Fall Special (2014),SUB,2023-05-01 06:31:32
487,Fantastic Girls,SUB,2023-04-28 23:28:38
488,Brother (2021),SUB,2023-04-28 23:28:03
489,Another Way,SUB,2023-04-28 23:27:09
490,"Tokyo Tower: Mom and Me, and Sometimes Dad Special (2006)",RAW,2023-04-28 06:10:43
491,Toki wa Tachidomaranai (2014),RAW,2023-04-28 06:09:47
492,Honto ni Atta Kowai Hanashi 2020 (2020),RAW,2023-04-28 06:09:13
493,Renai Shousetsu (2004),RAW,2023-04-28 00:27:02
494,Their Christmas (2002),RAW,2023-04-27 18:05:01
495,Boogie Nights (2022),SUB,2023-04-26 08:54:48
496,Daemuga: Sorrow and Joy (2022),SUB,2023-04-24 23:51:29
497,The Devil's Deal (2023),SUB,2023-04-24 23:51:08
498,Behind the Blue Eyes (2023),SUB,2023-04-24 06:29:52
499,A Far Shore (2023),SUB,2023-04-22 08:05:44
500,Suga: Road to D-Day (2023),SUB,2023-04-21 20:16:05
501,Soulmate (2023),SUB,2023-04-20 07:36:23
502,Hidden Blade (2023),SUB,2023-04-18 19:39:11
503,Cafe Midnight: Missing Honey (2022),SUB,2023-04-14 08:01:37
504,Golden Escape (2022),SUB,2023-04-13 08:40:29
505,Life Must Go On (2022),SUB,2023-04-13 08:40:23
506,A Murder Erased (2022),SUB,2023-04-13 08:40:16
507,I Want to Know Your Parents (2022),SUB,2023-04-13 08:39:28
508,Marui Video (2023),SUB,2023-04-10 18:01:18
509,Plan 75 (2022),SUB,2023-04-10 18:00:59
510,Convenience Story (2022),SUB,2023-04-09 23:49:36
511,Hunger (2023),SUB,2023-04-08 07:26:05
512,Koi wa Hikari (2022),RAW,2023-04-06 07:17:52
513,True Accident Property Part 2 / Annihilation (2022),RAW,2023-04-05 08:13:00
514,The Lines that Define Me (2022),SUB,2023-04-04 08:31:53
515,Love Mooning (2021),SUB,2023-04-04 08:30:03
516,Snowball (2021),SUB,2023-03-31 20:46:44
517,Kill Bok Soon (2023),SUB,2023-03-31 03:54:30
518,A Song for My Dear (2023),RAW,2023-03-29 07:35:33
519,Missing You (2016),SUB,2023-03-27 07:08:12
520,The Turtle Island (2021),SUB,2023-03-27 07:07:37
521,Ping-Pong of China (2023),SUB,2023-03-23 08:09:26
522,Good Deal (2022),SUB,2023-03-20 00:31:03
523,The Cheese Sisters (2022),SUB,2023-03-16 23:07:39
524,The Lake (2022),SUB,2023-03-16 23:07:16
525,Honest Candidate 2 (2022),SUB,2023-03-13 17:35:05
526,Tibetan Raiders (2022),SUB,2023-03-12 21:49:51
527,Anata no Ban Desu SP (2021),RAW,2023-03-10 22:34:19
528,The Confidence Man JP: Episode of the Hero (2022),SUB,2023-03-08 18:19:02
529,Phantom (2023),SUB,2023-03-05 19:41:46
530,Grown-ups (2022),SUB,2023-03-04 06:15:08
531,Gentleman (2022),SUB,2023-03-01 17:14:15
532,The Sparring Partner (2022),SUB,2023-02-27 07:01:58
533,When Our Love Remains As Scent (2023),RAW,2023-02-27 05:54:17
534,Even if This Love Disappears From the World Tonight (2022),SUB,2023-02-26 14:02:36
535,Anime Supremacy! (2022),SUB,2023-02-26 14:02:10
536,The Point Men (2023),SUB,2023-02-26 14:01:40
537,Call Me Chihiro (2023),SUB,2023-02-23 05:48:41
538,Yanagawa (2022),RAW,2023-02-22 07:34:33
539,The Goblin (2022),SUB,2023-02-19 10:16:30
540,Detective Chen (2022),SUB,2023-02-17 17:57:13
541,J-Hope in the Box (2023),SUB,2023-02-17 15:19:06
542,Unlocked (2023),SUB,2023-02-17 05:56:13
543,OMG! Oh My Girl (2022),SUB,2023-02-16 07:07:17
544,Through My Midwinter (2022),RAW,2023-02-15 17:30:33
545,Office Cooking (2022),RAW,2023-02-15 17:29:22
546,Re/Member (2022),SUB,2023-02-15 17:06:33
547,Ichigeki (2023),SUB,2023-02-14 14:33:53
548,Adulting at Eighteen (2023),RAW,2023-02-14 07:23:24
549,HiGH&LOW THE WORST Cross (2022),RAW,2023-02-11 07:53:56
550,Lesson in Murder (2022),RAW,2023-02-10 22:04:21
551,To the World with You (2022),SUB,2023-02-10 22:04:01
552,Ditto (2022),SUB,2023-02-10 01:18:23
553,Tomorrow's Dining Table (2021),SUB,2023-02-09 19:57:46
554,Sakra (2023),SUB,2023-02-07 17:54:58
555,"Brother, Android and Me (2022)",RAW,2023-02-07 17:54:30
556,The Voice of Sin (2020),RAW,2023-02-05 23:33:14
557,Legend of Lord of Heaven (2019),RAW,2023-02-05 23:32:49
558,Little Blue (2022),SUB,2023-02-01 17:16:21
559,Check Out: The Movie (2023),SUB,2023-01-31 17:24:38
560,The Owl (2022),SUB,2023-01-31 06:55:26
561,Ai Long Nhai: The Endless Love (2023),SUB,2023-01-31 06:54:41
562,Alivehoon (2022),RAW,2023-01-30 17:56:42
563,Walk Up (2022),SUB,2023-01-30 17:56:19
564,Faces of Anne (2022),SUB,2023-01-30 13:09:30
565,Oh! My Assistant (Movie) (2023),SUB,2023-01-23 16:53:12
566,The Gossip (2021),SUB,2023-01-23 16:22:35
567,Goodbye Cruel World (2022),SUB,2023-01-22 07:07:29
568,Decibel (2022),SUB,2023-01-22 07:06:41
569,Sniper: Vengeance (2023),SUB,2023-01-22 03:05:05
570,The Post-Truth World (2022),SUB,2023-01-21 06:34:18
571,Gangnam Zombie (2023),SUB,2023-01-20 07:38:50
572,Jung_E (2023),SUB,2023-01-20 01:17:56
573,Akira and Akira (2022),RAW,2023-01-18 12:38:32
574,Tonbi (2022),SUB,2023-01-18 12:38:09
575,The Boy Inside (2012),RAW,2023-01-16 23:42:26
576,Table for Six (2022),SUB,2023-01-16 17:59:10
577,Indian Pink (2021),RAW,2023-01-15 07:17:18
578,Tetsujin 28 (2005),RAW,2023-01-15 03:18:14
579,Boy Meets Boy (2008),RAW,2023-01-14 23:55:03
580,Sadako DX (2022),SUB,2023-01-12 00:50:27
581,Hagoku (2017),RAW,2023-01-10 23:21:57
582,Rampo Noir (2005),RAW,2023-01-10 23:21:43
583,Kindaichi Kosuke vs. Akechi Kogoro Futatabi (2014),RAW,2023-01-10 22:47:37
584,Hula Girls (2006),SUB,2023-01-10 22:47:18
585,Yin and Yang Painted Skin (2022),SUB,2023-01-09 18:41:11
586,"Yes, I Can’t Swim (2022)",SUB,2023-01-07 05:34:53
587,Serendipity Love (2022),RAW,2023-01-06 22:32:54
588,Tang and Me (2022),RAW,2023-01-05 23:17:18
589,Kingdom 2: To the Far Land (2022),SUB,2023-01-05 22:04:59
590,My Broken Mariko (2022),SUB,2023-01-04 07:05:15
591,Tales from the Occult (2022),SUB,2023-01-03 17:34:10
592,A Christmas Carol (2022),SUB,2023-01-03 17:32:07
593,20-Year-Old Soul (2022),SUB,2023-01-02 20:07:19
594,Body 19 (2007),SUB,2023-01-02 17:48:07
595,The Angel's Time (2018),RAW,2023-01-02 17:47:48
596,Life is Beautiful (2022),SUB,2023-01-02 07:49:35
597,The Bandage Club (2007),RAW,2023-01-01 06:00:31
598,The Fire Phoenix (2021),RAW,2023-01-01 05:59:31
599,Dark World (2021),SUB,2023-01-01 05:57:49
600,The All-Out Nine: Field of Nightmares (2005),RAW,2023-01-01 05:57:02
601,Presents: Sea Urchin Rice Cracker (2007),RAW,2023-01-01 05:56:39
602,Nodame Cantabile: The Final Score - Part II (2010),RAW,2022-12-29 05:59:34
603,Nodame Cantabile: The Final Score - Part I (2009),RAW,2022-12-29 05:59:11
604,River of First Love (2004),SUB,2022-12-29 05:57:18
605,Bunny Drop (2011),SUB,2022-12-29 05:56:51
606,Sugar and Spice (2006),SUB,2022-12-29 05:54:17
607,Olympic no Minoshirokin (2013),SUB,2022-12-29 05:52:01
608,Noise (2022),SUB,2022-12-27 20:49:44
609,The Hunk Is the Color Orange (2022),SUB,2022-12-23 17:22:33
610,The Cases of Disappearances (2022),SUB,2022-12-23 00:36:19
611,Kisaragi Station (2022),SUB,2022-12-20 19:24:42
612,Fairy (2021),RAW,2022-12-20 04:53:48
613,Route 1 (2022),RAW,2022-12-20 04:52:05
614,Confession (2022),SUB,2022-12-18 17:29:16
615,Baragaki: Unbroken Samurai (2021),SUB,2022-12-18 17:27:19
616,Home Coming (2022),RAW,2022-12-18 17:26:58
617,Hell Dogs (2022),SUB,2022-12-18 17:26:30
618,Zenkamono (2022),SUB,2022-12-18 07:21:22
619,Kobe Shinbun no Nanokakan (2010),RAW,2022-12-18 05:38:18
620,I Will Fly to the Sky on a Wheelchair! (2012),SUB,2022-12-18 05:37:32
621,The Princess Blade (2001),SUB,2022-12-18 05:23:05
622,The Unborn Child (2011),SUB,2022-12-18 05:22:23
623,"Goodbye, Dragon Inn (2003)",SUB,2022-12-18 05:21:25
624,The Mole Song: Final (2021),RAW,2022-12-18 05:20:28
625,Moneyboys (2021),SUB,2022-12-18 05:19:37
626,Harmful Insect (2001),SUB,2022-12-18 05:17:46
627,Tomie: Replay (2000),SUB,2022-12-18 05:17:11
628,Beauty and the Fist (2019),RAW,2022-12-18 02:30:20
629,Swing Girls (2004),SUB,2022-12-18 02:22:19
630,Ao to Shiro de Mizuiro (2001),SUB,2022-12-18 02:12:09
631,Tomie: The Final Chapter - Forbidden Fruit (2002),SUB,2022-12-18 02:11:20
632,Tomie: Beginning (2005),SUB,2022-12-18 02:09:58
633,Tomie: Revenge (2005),SUB,2022-12-18 02:09:26
634,Tomie vs Tomie (2007),SUB,2022-12-18 02:08:55
635,Tomie Unlimited (2011),RAW,2022-12-18 01:07:01
636,Life of Hae Oak (2022),RAW,2022-12-16 22:25:09
637,The One Hundred (2022),SUB,2022-12-13 23:25:38
638,Ghost Blowing Lamp of the Popeye Man (2022),SUB,2022-12-10 21:03:32
639,Semantic Error: The Movie (2022),SUB,2022-12-09 01:21:40
640,Minxiong Haunted House (2022),SUB,2022-12-07 18:57:10
641,Ox-Head Village (2022),SUB,2022-12-07 18:55:27
642,A Sealed Book (2022),SUB,2022-12-06 23:37:11
643,My Small Land (2022),SUB,2022-12-06 19:22:45
644,The Pass: Last Days of the Samurai (2022),RAW,2022-12-04 22:25:31
645,Winter Rose (2022),RAW,2022-12-04 06:20:31
646,School Tales (2017),SUB,2022-12-03 14:00:12
647,Box! (2010),SUB,2022-12-03 13:59:50
648,Does the Flower Bloom? (2018),SUB,2022-12-03 13:59:17
649,Negative Happy Chainsaw Edge (2008),SUB,2022-12-03 13:58:47
650,Tsuyukusa (2022),RAW,2022-12-03 07:06:40
651,A Day in Tongyeong (2022),RAW,2022-12-03 07:06:23
652,The Warrior from Sky (2021),SUB,2022-12-03 05:32:07
653,Seolhwa (2020),RAW,2022-12-03 05:20:41
654,Shibuya Maruyama Story (2007),RAW,2022-12-03 05:19:08
655,Angel's Egg (2006),SUB,2022-12-02 19:31:20
656,Worst By Chance (2003),RAW,2022-12-02 19:31:01
657,Warriors of Future (2022),SUB,2022-12-02 14:44:48
658,Starting Over (2014),SUB,2022-12-02 14:00:46
659,The Great Yokai War (2005),SUB,2022-12-02 14:00:25
660,Vanishing (2022),RAW,2022-12-02 13:57:38
661,Sisters on the Road (2009),RAW,2022-12-02 13:57:03
662,"Fly High, Run Far (1991)",RAW,2022-12-02 13:56:40
663,Next Door (2022),RAW,2022-11-30 22:12:20
664,"Hot in Day, Cold at Night (2022)",RAW,2022-11-30 22:12:00
665,Remember (2022),SUB,2022-11-30 22:11:24
666,Love Destiny The Movie (2022),SUB,2022-11-30 18:57:26
667,Happy Ending (2022) (Thailand),SUB,2022-11-28 20:56:07
668,Third Time Lucky (2021),SUB,2022-11-27 17:51:45
669,Give Me Five (2022),RAW,2022-11-25 22:43:22
670,My Blue Summer (2022),SUB,2022-11-25 07:03:17
671,Reunion 2: Mystery of the Abyss (2022),SUB,2022-11-23 19:00:01
672,The Yellow Sea (2010),SUB,2022-11-23 00:07:13
673,A Bride for Rip Van Winkle (2016),SUB,2022-11-23 00:06:53
674,Cinema Street (2021),RAW,2022-11-21 12:49:05
675,Journey to the North (2022),SUB,2022-11-20 17:29:03
676,Urban Myths: Tooth Worms (2022),SUB,2022-11-20 17:28:43
677,Paper Beauty (2022),SUB,2022-11-20 17:28:27
678,Ordinary Hero (2022),SUB,2022-11-20 07:01:21
679,The Mystic Nine: Qing Shan Hai Tang (2022),SUB,2022-11-20 07:00:32
680,Wandering (2022),SUB,2022-11-19 13:53:20
681,The Violence Action (2022),SUB,2022-11-19 06:38:53
682,6/45 (2022),SUB,2022-11-18 01:22:31
683,Life Back Then (2011),SUB,2022-11-17 16:15:29
684,Detective Mitarai's Casebook: The Clockwork Current (2016),RAW,2022-11-17 16:14:16
685,Three Summer Night (2015),RAW,2022-11-17 05:44:35
686,Gokushufudou Bakusho! Kachikomi SP (2022),SUB,2022-11-17 05:43:59
687,Dear Lena (2016),SUB,2022-11-17 05:43:28
688,Ten Months (2021),RAW,2022-11-17 05:42:51
689,The Banquet (2006),SUB,2022-11-17 05:40:46
690,The Lost Lotteries (2022),SUB,2022-11-16 23:55:31
691,OUT (2002),RAW,2022-11-15 18:06:44
692,Project Wolf Hunting (2022),SUB,2022-11-14 01:09:05
693,Mama Boy (2022),SUB,2022-11-13 18:34:00
694,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!: The Movie (2022),SUB,2022-11-12 07:58:50
695,B Cut (2022),SUB,2022-11-11 19:09:49
696,Hideout (2022),RAW,2022-11-11 07:55:07
697,The Other Child (2022),RAW,2022-11-09 01:16:19
698,Tabi Suru Sandwich (2022),SUB,2022-11-08 05:15:36
699,The Great Illusionist 2 (2022),SUB,2022-11-07 19:09:05
700,Comeback Home (2022),SUB,2022-11-06 14:51:16
701,Time Slip! (2014),RAW,2022-11-05 06:51:44
702,You're So Precious to Me (2021),SUB,2022-11-05 06:38:48
703,Fearless Love (2022),SUB,2022-11-04 23:58:39
704,Hotel Lake (2020),SUB,2022-11-04 18:02:14
705,The Last Thieves (2019),RAW,2022-11-04 15:09:08
706,GOTH (2008),SUB,2022-11-04 15:08:47
707,"Come, Closer (2010)",SUB,2022-11-04 15:08:28
708,Mutant Tiger (2022),SUB,2022-11-04 09:12:35
709,The Dragon Nine (2022),SUB,2022-11-03 08:09:07
710,Tenshi no Iru Toshokan (2017),SUB,2022-11-03 07:07:49
711,Doppelganger (2003),SUB,2022-11-03 07:07:28
712,Blue (2003),SUB,2022-11-03 07:07:04
713,Tokyo Densetsu: Kyofu no Ningen Jigoku (2014),RAW,2022-11-03 07:06:40
714,Toire no Hanako-san: Shin Gekijoban (2013),RAW,2022-11-03 07:03:57
715,Kill Me Now (2022),RAW,2022-11-01 09:10:38
716,Confidential Assignment 2: International (2022),SUB,2022-10-30 18:13:04
717,Leio (2022),SUB,2022-10-28 20:07:54
718,FOX LOVE (2022),SUB,2022-10-28 09:06:33
719,The Mad Sword (2021),SUB,2022-10-28 09:05:28
